"Label (Grouping)","United States Virgin Islands!!Number","United States Virgin Islands!!Percent"
"        Born elsewhere","416","1.4%"
"MOTHER'S PLACE OF BIRTH","",""
"    Population in households","84,891","100.0%"
"        Born in the U.S. Virgin Islands","25,022","29.5%"
"        Born in the United States","11,822","13.9%"
"        Born in other U.S. Island Area or Puerto Rico","4,062","4.8%"
"        Born elsewhere","43,985","51.8%"
"FATHER'S PLACE OF BIRTH","",""
"    Population in households","84,891","100.0%"
"        Born in the U.S. Virgin Islands","23,842","28.1%"
"        Born in the United States","11,660","13.7%"
"        Born in other U.S. Island Area or Puerto Rico","4,437","5.2%"
"        Born elsewhere","44,952","53.0%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","",""
"    Population 5 years and over in households","80,430","100.0%"
"        English only","56,173","69.8%"
"        Language other than English","24,257","30.2%"
"            Speak English ""very well""","17,046","21.2%"
"            Speak English less than ""very well""","7,211","9.0%"
"            Spanish","13,807","56.9%"
"                Speak English ""very well""","9,309","38.4%"
"                Speak English less than ""very well""","4,498","18.5%"
"            French, Haitian, or Cajun","7,101","29.3%"
"                Speak English ""very well""","4,883","20.1%"
"                Speak English less than ""very well""","2,218","9.1%"
"            Other languages","3,349","13.8%"
"                Speak English ""very well""","2,854","11.8%"
"                Speak English less than ""very well""","495","2.0%"
