"Series.Name","year","value"
"Population ages 05-09, male (% of male population)",1986,10.812415543999
"Population ages 05-09, male (% of male population)",1987,10.7253141465304
"Population ages 05-09, male (% of male population)",1988,10.6068151099097
"Population ages 05-09, male (% of male population)",1989,10.4312235944101
"Population ages 05-09, male (% of male population)",1990,10.1739834108841
"Population ages 05-09, male (% of male population)",1991,9.90408611202983
"Population ages 05-09, male (% of male population)",1992,9.67639436395952
"Population ages 05-09, male (% of male population)",1993,9.48079707646694
"Population ages 05-09, male (% of male population)",1994,9.3140419870478
"Population ages 05-09, male (% of male population)",1995,9.33019473571582
"Population ages 05-09, male (% of male population)",1996,9.53349212804276
"Population ages 05-09, male (% of male population)",1997,9.72651123291901
"Population ages 05-09, male (% of male population)",1998,9.85819155700275
"Population ages 05-09, male (% of male population)",1999,9.90876422247271
"Population ages 05-09, male (% of male population)",2000,9.85581099079275
"Population ages 05-09, male (% of male population)",2001,9.64151125712629
"Population ages 05-09, male (% of male population)",2002,9.28056302082326
"Population ages 05-09, male (% of male population)",2003,8.84275353196929
"Population ages 05-09, male (% of male population)",2004,8.31343544348029
"Population ages 05-09, male (% of male population)",2005,7.88179255370857
"Population ages 05-09, male (% of male population)",2006,7.681080449928
"Population ages 05-09, male (% of male population)",2007,7.57061816480496
"Population ages 05-09, male (% of male population)",2008,7.466945500386
"Population ages 05-09, male (% of male population)",2009,7.375266900429
"Population ages 05-09, male (% of male population)",2010,7.26097606563505
"Population ages 05-09, male (% of male population)",2011,7.13648174226947
"Population ages 05-09, male (% of male population)",2012,7.05267478999169
"Population ages 05-09, male (% of male population)",2013,6.98958997238156
"Population ages 05-09, male (% of male population)",2014,7.03963180772181
"Population ages 05-09, male (% of male population)",2015,7.09890658129963
"Population ages 05-09, male (% of male population)",2016,6.98346887790358
"Population ages 05-09, male (% of male population)",2017,6.74015198595711
"Population ages 05-09, male (% of male population)",2018,6.41922180383719
"Population ages 05-09, male (% of male population)",2019,6.04081067356078
"Population ages 05-09, male (% of male population)",2020,5.82536842600876
"Population ages 05-09, male (% of male population)",2021,5.82289920213082
"Population ages 05-09, male (% of male population)",2022,5.83680547192987
"Population ages 05-09, male (% of male population)",2023,5.85355730260267
"Population ages 05-09, male (% of male population)",2024,5.86008535906476
"Population ages 10-14, female (% of female population)",1975,10.796449704142
"Population ages 10-14, female (% of female population)",1976,11.1199445763155
"Population ages 10-14, female (% of female population)",1977,11.5597653305365
"Population ages 10-14, female (% of female population)",1978,11.9544032280155
"Population ages 10-14, female (% of female population)",1979,12.2734677255142
"Population ages 10-14, female (% of female population)",1980,12.1854251977895
"Population ages 10-14, female (% of female population)",1981,11.6669123065586
"Population ages 10-14, female (% of female population)",1982,11.1567186007059
"Population ages 10-14, female (% of female population)",1983,10.7162913189133
"Population ages 10-14, female (% of female population)",1984,10.3466856543535
"Population ages 10-14, female (% of female population)",1985,10.0752196298352
"Population ages 10-14, female (% of female population)",1986,9.87473207906644
"Population ages 10-14, female (% of female population)",1987,9.74641843331973
"Population ages 10-14, female (% of female population)",1988,9.67060050239348
"Population ages 10-14, female (% of female population)",1989,9.62596781539396
"Population ages 10-14, female (% of female population)",1990,9.4161032575292
"Population ages 10-14, female (% of female population)",1991,9.0414136972974
"Population ages 10-14, female (% of female population)",1992,8.73964190588932
"Population ages 10-14, female (% of female population)",1993,8.576005858928
"Population ages 10-14, female (% of female population)",1994,8.53040157473172
"Population ages 10-14, female (% of female population)",1995,8.54988482579902
"Population ages 10-14, female (% of female population)",1996,8.57296041461889
"Population ages 10-14, female (% of female population)",1997,8.5766326077299
"Population ages 10-14, female (% of female population)",1998,8.57115054581483
"Population ages 10-14, female (% of female population)",1999,8.58687885390661
"Population ages 10-14, female (% of female population)",2000,8.55446835119734
"Population ages 10-14, female (% of female population)",2001,8.46945694384516
"Population ages 10-14, female (% of female population)",2002,8.40087130598891
"Population ages 10-14, female (% of female population)",2003,8.32412066967958
"Population ages 10-14, female (% of female population)",2004,8.21178413216978
"Population ages 10-14, female (% of female population)",2005,8.01474057128615
"Population ages 10-14, female (% of female population)",2006,7.72955907534246
"Population ages 10-14, female (% of female population)",2007,7.39558749910606
"Population ages 10-14, female (% of female population)",2008,7.0454973160437
"Population ages 10-14, female (% of female population)",2009,6.67833423083827
"Population ages 10-14, female (% of female population)",2010,6.2783299840496
"Population ages 10-14, female (% of female population)",2011,6.00743994833875
"Population ages 10-14, female (% of female population)",2012,5.89685335589915
"Population ages 10-14, female (% of female population)",2013,5.82033721665984
"Population ages 10-14, female (% of female population)",2014,5.79341768338605
"Population ages 10-14, female (% of female population)",2015,5.77850656386947
"Population ages 10-14, female (% of female population)",2016,5.76500605857609
"Population ages 10-14, female (% of female population)",2017,5.78180194080149
"Population ages 10-14, female (% of female population)",2018,5.79421417412002
"Population ages 10-14, female (% of female population)",2019,5.74586595150976
"Population ages 10-14, female (% of female population)",2020,5.65351492974562
"Population ages 10-14, female (% of female population)",2021,5.54639335008357
"Population ages 10-14, female (% of female population)",2022,5.40612635042013
"Population ages 10-14, female (% of female population)",2023,5.25110073084058
"Population ages 10-14, female (% of female population)",2024,5.09581343073897
"Population ages 10-14, male (% of male population)",1975,11.257154183494
"Population ages 10-14, male (% of male population)",1976,11.6356351072508
"Population ages 10-14, male (% of male population)",1977,12.1933899114076
"Population ages 10-14, male (% of male population)",1978,12.7594523898495
"Population ages 10-14, male (% of male population)",1979,13.2494897677754
"Population ages 10-14, male (% of male population)",1980,13.2226581498654
"Population ages 10-14, male (% of male population)",1981,12.623078482201
"Population ages 10-14, male (% of male population)",1982,11.9788422352904
"Population ages 10-14, male (% of male population)",1983,11.4810166300596
"Population ages 10-14, male (% of male population)",1984,11.1146840380067
"Population ages 10-14, male (% of male population)",1985,10.839006003934
"Population ages 10-14, male (% of male population)",1986,10.6742148151181
"Population ages 10-14, male (% of male population)",1987,10.5887508535206
"Population ages 10-14, male (% of male population)",1988,10.5204321182126
"Population ages 10-14, male (% of male population)",1989,10.4677851803705
"Population ages 10-14, male (% of male population)",1990,10.220513857981
"Population ages 10-14, male (% of male population)",1991,9.76878438918789
"Population ages 10-14, male (% of male population)",1992,9.39836558798121
"Population ages 10-14, male (% of male population)",1993,9.17642655214192
"Population ages 10-14, male (% of male population)",1994,9.07828060495784
"Population ages 10-14, male (% of male population)",1995,9.05200085598117
"Population ages 10-14, male (% of male population)",1996,9.04742539553438
"Population ages 10-14, male (% of male population)",1997,9.04906199336061
"Population ages 10-14, male (% of male population)",1998,9.06822604574093
"Population ages 10-14, male (% of male population)",1999,9.13417536152297
"Population ages 10-14, male (% of male population)",2000,9.15802883780184
"Population ages 10-14, male (% of male population)",2001,9.11295777369794
"Population ages 10-14, male (% of male population)",2002,9.07755070474275
"Population ages 10-14, male (% of male population)",2003,9.04029204713811
"Population ages 10-14, male (% of male population)",2004,8.96375672160426
"Population ages 10-14, male (% of male population)",2005,8.8023719257315
"Population ages 10-14, male (% of male population)",2006,8.56556260460047
"Population ages 10-14, male (% of male population)",2007,8.28313546601166
"Population ages 10-14, male (% of male population)",2008,7.98878150316131
"Population ages 10-14, male (% of male population)",2009,7.6583282728359
"Population ages 10-14, male (% of male population)",2010,7.24523624487226
"Population ages 10-14, male (% of male population)",2011,6.95202015193288
"Population ages 10-14, male (% of male population)",2012,6.83941247734714
"Population ages 10-14, male (% of male population)",2013,6.7498254878752
"Population ages 10-14, male (% of male population)",2014,6.69803119406801
"Population ages 10-14, male (% of male population)",2015,6.63326819939301
"Population ages 10-14, male (% of male population)",2016,6.52633817041408
"Population ages 10-14, male (% of male population)",2017,6.43051058123181
"Population ages 10-14, male (% of male population)",2018,6.32732651963421
"Population ages 10-14, male (% of male population)",2019,6.19200406260099
"Population ages 10-14, male (% of male population)",2020,6.12552380055558
"Population ages 10-14, male (% of male population)",2021,6.13919309385367
"Population ages 10-14, male (% of male population)",2022,6.14508321090532
"Population ages 10-14, male (% of male population)",2023,6.14898188388105
"Population ages 10-14, male (% of male population)",2024,6.13966722335622
"Population ages 15-19, female (% of female population)",1975,8.87692307692308
"Population ages 15-19, female (% of female population)",1976,8.81100296425853
"Population ages 15-19, female (% of female population)",1977,8.84380496651481
"Population ages 15-19, female (% of female population)",1978,9.17097735964348
"Population ages 15-19, female (% of female population)",1979,9.77397678680513
"Population ages 15-19, female (% of female population)",1980,10.4619727269113
"Population ages 15-19, female (% of female population)",1981,10.9064112011791
"Population ages 15-19, female (% of female population)",1982,10.8700739036328
"Population ages 15-19, female (% of female population)",1983,10.4587440212234
"Population ages 15-19, female (% of female population)",1984,9.92908483839618
"Population ages 15-19, female (% of female population)",1985,9.44743238846249
"Population ages 15-19, female (% of female population)",1986,9.1050250059538
"Population ages 15-19, female (% of female population)",1987,8.94038791998557
"Population ages 15-19, female (% of female population)",1988,8.91985402151761
"Population ages 15-19, female (% of female population)",1989,9.02345529072415
"Population ages 15-19, female (% of female population)",1990,9.08987754716089
"Population ages 15-19, female (% of female population)",1991,8.92447870379898
"Population ages 15-19, female (% of female population)",1992,8.5703980467594
"Population ages 15-19, female (% of female population)",1993,8.12834714148396
"Population ages 15-19, female (% of female population)",1994,7.68044556925282
"Population ages 15-19, female (% of female population)",1995,7.3270587388425
"Population ages 15-19, female (% of female population)",1996,7.14681440443213
"Population ages 15-19, female (% of female population)",1997,7.1505997334518
"Population ages 15-19, female (% of female population)",1998,7.30790325719644
"Population ages 15-19, female (% of female population)",1999,7.56975626108205
"Population ages 15-19, female (% of female population)",2000,7.70457007477343
"Population ages 15-19, female (% of female population)",2001,7.66724491682884
"Population ages 15-19, female (% of female population)",2002,7.59217941142751
"Population ages 15-19, female (% of female population)",2003,7.46535301453095
"Population ages 15-19, female (% of female population)",2004,7.30094191383397
"Population ages 15-19, female (% of female population)",2005,7.16110483074157
"Population ages 15-19, female (% of female population)",2006,7.07940924657534
"Population ages 15-19, female (% of female population)",2007,7.02102553100193
"Population ages 15-19, female (% of female population)",2008,6.97022107913862
"Population ages 15-19, female (% of female population)",2009,6.90989050439778
"Population ages 15-19, female (% of female population)",2010,6.70637745676721
"Population ages 15-19, female (% of female population)",2011,6.46766169154229
"Population ages 15-19, female (% of female population)",2012,6.30248622595866
"Population ages 15-19, female (% of female population)",2013,6.08646294710984
"Population ages 15-19, female (% of female population)",2014,5.83483958427474
"Population ages 15-19, female (% of female population)",2015,5.59055646653817
"Population ages 15-19, female (% of female population)",2016,5.40444689633431
"Population ages 15-19, female (% of female population)",2017,5.29457144017215
"Population ages 15-19, female (% of female population)",2018,5.2636545700475
"Population ages 15-19, female (% of female population)",2019,5.3061313123636
"Population ages 15-19, female (% of female population)",2020,5.41583293719668
"Population ages 15-19, female (% of female population)",2021,5.54417966285543
"Population ages 15-19, female (% of female population)",2022,5.63064064375584
"Population ages 15-19, female (% of female population)",2023,5.67127818876696
"Population ages 15-19, female (% of female population)",2024,5.67912334925541
"Population ages 15-19, male (% of male population)",1975,8.57882609449716
"Population ages 15-19, male (% of male population)",1976,8.61965545371659
"Population ages 15-19, male (% of male population)",1977,8.78124308781243
"Population ages 15-19, male (% of male population)",1978,9.26838106238181
"Population ages 15-19, male (% of male population)",1979,10.1108720834023
"Population ages 15-19, male (% of male population)",1980,10.9918614830907
"Population ages 15-19, male (% of male population)",1981,11.4933700301896
"Population ages 15-19, male (% of male population)",1982,11.48473874806
"Population ages 15-19, male (% of male population)",1983,11.0647421817801
"Population ages 15-19, male (% of male population)",1984,10.4808929090079
"Population ages 15-19, male (% of male population)",1985,9.96364684922196
"Population ages 15-19, male (% of male population)",1986,9.60648622087548
"Population ages 15-19, male (% of male population)",1987,9.44324979872201
"Population ages 15-19, male (% of male population)",1988,9.46351080803666
"Population ages 15-19, male (% of male population)",1989,9.63296230094248
"Population ages 15-19, male (% of male population)",1990,9.71171353429092
"Population ages 15-19, male (% of male population)",1991,9.49116529861591
"Population ages 15-19, male (% of male population)",1992,9.06175217706461
"Population ages 15-19, male (% of male population)",1993,8.55291023532077
"Population ages 15-19, male (% of male population)",1994,8.06382187787365
"Population ages 15-19, male (% of male population)",1995,7.69313075112348
"Population ages 15-19, male (% of male population)",1996,7.50401828075679
"Population ages 15-19, male (% of male population)",1997,7.50405311510847
"Population ages 15-19, male (% of male population)",1998,7.66748232211325
"Population ages 15-19, male (% of male population)",1999,7.94146266269738
"Population ages 15-19, male (% of male population)",2000,8.0365587661899
"Population ages 15-19, male (% of male population)",2001,7.93216735916514
"Population ages 15-19, male (% of male population)",2002,7.81017381721158
"Population ages 15-19, male (% of male population)",2003,7.63912424591609
"Population ages 15-19, male (% of male population)",2004,7.4563702366393
"Population ages 15-19, male (% of male population)",2005,7.32283464566929
"Population ages 15-19, male (% of male population)",2006,7.26948974428833
"Population ages 15-19, male (% of male population)",2007,7.27625397196717
"Population ages 15-19, male (% of male population)",2008,7.32524845843391
"Population ages 15-19, male (% of male population)",2009,7.37330799819781
"Population ages 15-19, male (% of male population)",2010,7.2245777301211
"Population ages 15-19, male (% of male population)",2011,7.02342463851479
"Population ages 15-19, male (% of male population)",2012,6.91049991489532
"Population ages 15-19, male (% of male population)",2013,6.73970884295932
"Population ages 15-19, male (% of male population)",2014,6.53336742521094
"Population ages 15-19, male (% of male population)",2015,6.28611815573941
"Population ages 15-19, male (% of male population)",2016,6.06070270557593
"Population ages 15-19, male (% of male population)",2017,5.91916614878051
"Population ages 15-19, male (% of male population)",2018,5.84431594046979
"Population ages 15-19, male (% of male population)",2019,5.8249849960759
"Population ages 15-19, male (% of male population)",2020,5.923066057724
"Population ages 15-19, male (% of male population)",2021,6.08330657915076
"Population ages 15-19, male (% of male population)",2022,6.19084318778449
"Population ages 15-19, male (% of male population)",2023,6.2539674788808
"Population ages 15-19, male (% of male population)",2024,6.30296282550875
"Population ages 20-24, female (% of female population)",1975,7.50887573964497
"Population ages 20-24, female (% of female population)",1976,7.4969619189315
"Population ages 20-24, female (% of female population)",1977,7.48145477587318
"Population ages 20-24, female (% of female population)",1978,7.4094754474868
"Population ages 20-24, female (% of female population)",1979,7.32437385461209
"Population ages 20-24, female (% of female population)",1980,7.29435852582197
"Population ages 20-24, female (% of female population)",1981,7.36919675755343
"Population ages 20-24, female (% of female population)",1982,7.68675779498079
"Population ages 20-24, female (% of female population)",1983,8.17470614434267
"Population ages 20-24, female (% of female population)",1984,8.54927016078594
"Population ages 20-24, female (% of female population)",1985,8.71820391601432
"Population ages 20-24, female (% of female population)",1986,8.6401524172422
"Population ages 20-24, female (% of female population)",1987,8.27676562455497
"Population ages 20-24, female (% of female population)",1988,7.75771363571733
"Population ages 20-24, female (% of female population)",1989,7.2737968726279
"Population ages 20-24, female (% of female population)",1990,7.10037350479883
"Population ages 20-24, female (% of female population)",1991,7.26025987632955
"Population ages 20-24, female (% of female population)",1992,7.48464782480024
"Population ages 20-24, female (% of female population)",1993,7.63766192154529
"Population ages 20-24, female (% of female population)",1994,7.65323246342105
"Population ages 20-24, female (% of female population)",1995,7.48002447451771
"Population ages 20-24, female (% of female population)",1996,7.12447502457332
"Population ages 20-24, female (% of female population)",1997,6.65482007996446
"Population ages 20-24, female (% of female population)",1998,6.16408060720794
"Population ages 20-24, female (% of female population)",1999,5.75252075265308
"Population ages 20-24, female (% of female population)",2000,5.52654060576169
"Population ages 20-24, female (% of female population)",2001,5.55032097286921
"Population ages 20-24, female (% of female population)",2002,5.73580379741254
"Population ages 20-24, female (% of female population)",2003,5.97069046334539
"Population ages 20-24, female (% of female population)",2004,6.19212911587937
"Population ages 20-24, female (% of female population)",2005,6.36532761275736
"Population ages 20-24, female (% of female population)",2006,6.41409817351598
"Population ages 20-24, female (% of female population)",2007,6.31123507115784
"Population ages 20-24, female (% of female population)",2008,6.12874028802122
"Population ages 20-24, female (% of female population)",2009,5.96571531143421
"Population ages 20-24, female (% of female population)",2010,5.831358307275
"Population ages 20-24, female (% of female population)",2011,5.77187190191638
"Population ages 20-24, female (% of female population)",2012,5.82602856906337
"Population ages 20-24, female (% of female population)",2013,5.90129154725127
"Population ages 20-24, female (% of female population)",2014,5.96004669377918
"Population ages 20-24, female (% of female population)",2015,5.9338530728882
"Population ages 20-24, female (% of female population)",2016,5.78273847639126
"Population ages 20-24, female (% of female population)",2017,5.53209630922896
"Population ages 20-24, female (% of female population)",2018,5.22066456260289
"Population ages 20-24, female (% of female population)",2019,4.90874149032041
"Population ages 20-24, female (% of female population)",2020,4.76690582265607
"Population ages 20-24, female (% of female population)",2021,4.79373969251884
"Population ages 20-24, female (% of female population)",2022,4.84817498777397
"Population ages 20-24, female (% of female population)",2023,4.93596763739579
"Population ages 20-24, female (% of female population)",2024,5.06209609440854
"Population ages 20-24, male (% of male population)",1975,6.76767176234484
"Population ages 20-24, male (% of male population)",1976,6.63419549882432
"Population ages 20-24, male (% of male population)",1977,6.55537317081689
"Population ages 20-24, male (% of male population)",1978,6.48503583924992
"Population ages 20-24, male (% of male population)",1979,6.39086546417343
"Population ages 20-24, male (% of male population)",1980,6.46650022156653
"Population ages 20-24, male (% of male population)",1981,6.83798978035225
"Population ages 20-24, male (% of male population)",1982,7.39571565822397
"Population ages 20-24, male (% of male population)",1983,8.04099989540843
"Population ages 20-24, male (% of male population)",1984,8.55462428944857
"Population ages 20-24, male (% of male population)",1985,8.7844865761099
"Population ages 20-24, male (% of male population)",1986,8.70459850128987
"Population ages 20-24, male (% of male population)",1987,8.34055216412054
"Population ages 20-24, male (% of male population)",1988,7.81512007235846
"Population ages 20-24, male (% of male population)",1989,7.32348878778031
"Population ages 20-24, male (% of male population)",1990,7.17782723042687
"Population ages 20-24, male (% of male population)",1991,7.38546959720176
"Population ages 20-24, male (% of male population)",1992,7.62394622129104
"Population ages 20-24, male (% of male population)",1993,7.73830045015317
"Population ages 20-24, male (% of male population)",1994,7.67642973136898
"Population ages 20-24, male (% of male population)",1995,7.41785498900843
"Population ages 20-24, male (% of male population)",1996,6.98599895427874
"Population ages 20-24, male (% of male population)",1997,6.47243881726241
"Population ages 20-24, male (% of male population)",1998,5.97387333577388
"Population ages 20-24, male (% of male population)",1999,5.58879351040974
"Population ages 20-24, male (% of male population)",2000,5.38054703032409
"Population ages 20-24, male (% of male population)",2001,5.40245434341482
"Population ages 20-24, male (% of male population)",2002,5.59153922004602
"Population ages 20-24, male (% of male population)",2003,5.80608302427594
"Population ages 20-24, male (% of male population)",2004,5.97907324364724
"Population ages 20-24, male (% of male population)",2005,6.10090405365996
"Population ages 20-24, male (% of male population)",2006,6.11061378585607
"Population ages 20-24, male (% of male population)",2007,5.9584381152894
"Population ages 20-24, male (% of male population)",2008,5.72065161094879
